"Id","SalePrice"
1461,124402.0626
1462,151639.6137
1463,179339.969266667
1464,185449.418366667
1465,195766.2672
1466,186500.6724
1467,172191.680966667
1468,174898.919233333
1469,179899.846366667
1470,125452.1768
1471,200750.065166667
1472,95049.4280666667
1473,98527.4904666667
1474,150807.3636
1475,126328.001466667
1476,383414.717166666
1477,254152.460933333
1478,302235.2424
1479,268532.069333333
1480,458299.8031
1481,308164.867866667
1482,207121.309433333
1483,181153.626933333
1484,172165.599333333
1485,171140.2618
1486,198439.929066667
1487,312851.859166667
1488,238229.0975
1489,209485.955366667
1490,209538.7918
1491,192591.464233333
1492,101200.753766667
1493,179175.803
1494,296859.3719
1495,294147.6175
1496,227764.879033333
1497,188754.310766667
1498,152540.439133333
1499,151825.799033333
1500,157886.884
1501,173082.574466667
1502,156860.6598
1503,291614.866433333
1504,230528.370866667
1505,218026.996566667
1506,180518.3155
1507,235179.5595
1508,196533.998966667
1509,163549.311533333
1510,151472.095466667
1511,151570.091733333
1512,170205.479733333
1513,156290.595566667
1514,159779.008366667
1515,192272.193366667
1516,158064.926933333
1517,150465.820966667
1518,136710.4089
1519,225169.3206
1520,136890.114833333
1521,142974.040633333
1522,162931.0345
1523,114272.750333333
1524,118848.356133333
1525,123187.0318
1526,125337.574
1527,105575.986633333
1528,124289.9177
1529,140490.904866667
1530,164747.433233333
1531,132471.240166667
1532,106032.1347
1533,142396.596866667
1534,114763.637666667
1535,151124.122
1536,117883.144933333
1537,90228.2151
1538,172708.7268
1539,228944.922133333
1540,123462.279333333
1541,143288.868866667
1542,142317.960533333
1543,200025.752866667
1544,85978.6612333334
1545,104098.284333333
1546,123251.072133333
1547,135939.657366667
1548,130997.1315
1549,114193.228533333
1550,142988.210933333
1551,120050.882666667
1552,145654.390066667
1553,142308.6431
1554,111114.9548
1555,173616.4421
1556,178809.748887583
1557,122081.2568
1558,93840.1439333333
1559,119377.9627
1560,143759.177966667
1561,154428.6806
1562,124725.448566667
1563,122071.814266667
1564,161918.7553
1565,154727.927966667
1566,222307.923166667
1567,84872.1927666667
1568,220028.055466667
1569,153547.748966667
1570,135951.9536
1571,132314.1336
1572,144083.6258
1573,239230.9589
1574,128319.373233333
1575,214077.444333333
1576,232274.501133333
1577,204465.5934
1578,147566.307466667
1579,142529.6879
1580,191354.484466667
1581,137819.073166667
1582,126742.350466667
1583,327465.2458
1584,237709.515333333
1585,139198.688066667
1586,76210.0257
1587,103703.5634
1588,147565.480666667
1589,104806.623733333
1590,131106.624033333
1591,104238.415333333
1592,128581.792633333
1593,119176.479433333
1594,138926.932166667
1595,126839.9553
1596,225386.698666667
1597,169570.141766667
1598,188840.578666667
1599,187901.648366667
1600,188264.482866667
1601,79522.6828
1602,112986.248666667
1603,97254.1003333333
1604,278509.036533333
1605,253197.519733333
1606,165991.889133333
1607,176272.7563
1608,219151.251133333
1609,200555.916
1610,163655.812333333
1611,148383.680566667
1612,176015.491533333
1613,170403.174766667
1614,120884.878533333
1615,87062.8606
1616,83230.1788
1617,89026.4221333334
1618,124414.909633333
1619,130897.5074
1620,172123.344633333
1621,139073.670866667
1622,146038.044666667
1623,285349.59
1624,214432.5037
1625,127203.694333333
1626,172489.955
1627,186824.731066667
1628,273923.296333333
1629,179596.3456
1630,335723.5193
1631,212319.533266667
1632,251664.992666667
1633,168206.753733333
1634,185865.0253
1635,181708.128533333
1636,164633.284166667
1637,185521.1583
1638,208160.4562
1639,180606.0612
1640,245796.586633333
1641,180583.611933333
1642,226628.678433333
1643,228331.736133333
1644,226015.8129
1645,188048.55
1646,156543.156033333
1647,160674.313633333
1648,141456.008666667
1649,136791.662166667
1650,120764.048466667
1651,120677.852366667
1652,93699.317
1653,96478.1437333333
1654,155215.5258
1655,149587.4475
1656,149159.520466667
1657,155018.396366667
1658,154525.405233333
1659,132716.576766667
1660,148305.925466667
1661,441646.101
1662,375819.9733
1663,365841.714233333
1664,445994.322733333
1665,310977.9794
1666,330387.123
1667,342367.998766667
1668,327310.680833333
1669,298882.516333333
1670,340583.7788
1671,262260.641133333
1672,452094.305366667
1673,298212.0304
1674,252272.1361
1675,192814.3803
1676,191360.535433333
1677,215539.446
1678,454823.677833333
1679,381121.576266667
1680,316896.786566667
1681,253244.552333333
1682,303283.745766667
1683,188103.578533333
1684,170416.0968
1685,175607.3061
1686,171636.081066667
1687,167004.682766667
1688,187891.452466667
1689,188755.4451
1690,183802.095666667
1691,172951.463266667
1692,264654.742666667
1693,168066.310366667
1694,183632.1454
1695,169580.429233333
1696,270640.142766667
1697,169893.9035
1698,343663.175333333
1699,326896.274066667
1700,241372.627666667
1701,260681.862133333
1702,254410.6687
1703,253093.287266667
1704,292166.177133333
1705,233921.649233333
1706,438811.449633333
1707,219262.445233334
1708,216381.296233333
1709,275409.9109
1710,225531.613066667
1711,273606.466466667
1712,257899.8684
1713,266534.401433333
1714,221319.9075
1715,202239.821266667
1716,180210.9528
1717,161523.280966667
1718,129290.771
1719,206493.785066667
1720,249138.6398
1721,164219.9449
1722,122252.831533333
1723,154933.560733333
1724,214471.491933333
1725,228816.907633333
1726,193848.7024
1727,176124.389133333
1728,185442.8736
1729,162674.373033333
1730,162825.9092
1731,121251.939333333
1732,130045.473366667
1733,124095.935533333
1734,132053.9971
1735,131246.915133333
1736,118057.690466667
1737,336068.133466667
1738,212498.878666667
1739,289940.312566667
1740,213420.358633333
1741,184167.6514
1742,172400.2359
1743,173252.354366667
1744,298869.199133333
1745,223150.339833333
1746,247245.537366667
1747,212087.201233333
1748,208417.665566667
1749,162698.557133333
1750,147298.203933333
1751,224020.860933333
1752,119980.799
1753,150472.097633333
1754,202385.8458
1755,165248.838633333
1756,122319.564466667
1757,119137.000433333
1758,148914.721966667
1759,164167.246833333
1760,160400.2749
1761,148398.268333333
1762,180285.122033333
1763,167183.060133333
1764,117155.005266667
1765,180603.208433333
1766,170491.701366667
1767,206232.544266667
1768,139974.893133333
1769,163946.4022
1770,142568.939966667
1771,134776.593533333
1772,136385.501533333
1773,140255.381
1774,136584.5798
1775,131995.230366667
1776,120588.7224
1777,115611.348666667
1778,130035.7768
1779,120384.1727
1780,174062.485033333
1781,130975.459266667
1782,102610.6087
1783,130217.159933333
1784,101314.189
1785,115696.413833333
1786,151524.0945
1787,171848.062833333
1788,65844.2241333333
1789,100292.057633333
1790,91077.5313666667
1791,185267.0613
1792,151809.067933333
1793,144991.3373
1794,140176.520066667
1795,133764.653933333
1796,131218.302666667
1797,120891.4603
1798,123381.609733333
1799,112861.7122
1800,127348.0773
1801,127880.8052
1802,146630.859933333
1803,155554.374866667
1804,139457.782833333
1805,133907.597966667
1806,113961.816933333
1807,144128.9684
1808,121615.157466667
1809,126833.671166667
1810,146496.491533333
1811,117198.2653
1812,112276.528333333
1813,120454.559366667
1814,98309.0393666666
1815,68967.3025
1816,102991.958566667
1817,134958.951666667
1818,142058.6523
1819,115566.558166667
1820,82222.5784
1821,124911.585233333
1822,154195.899533333
1823,64707.8497666667
1824,137876.3023
1825,141178.453666667
1826,103350.392633333
1827,108203.049
1828,137348.7252
1829,118976.474733333
1830,139777.974466667
1831,156524.290233333
1832,120896.5913
1833,147407.7295
1834,130055.052566667
1835,151091.2255
1836,131781.7029
1837,98997.7570333333
1838,129935.6284
1839,91194.8949333334
1840,159871.7899
1841,141651.774833333
1842,96150.4174666667
1843,140157.273233333
1844,138800.380166667
1845,144740.679333333
1846,153982.373433333
1847,164205.146
1848,64973.1363666667
1849,122083.5228
1850,128221.5039
1851,156476.8948
1852,126227.983466667
1853,137689.494366667
1854,166871.831933333
1855,158924.4258
1856,216947.0938
1857,182578.484166667
1858,142329.6135
1859,121532.6039
1860,149393.416033333
1861,120934.5951
1862,285803.8584
1863,279911.336166667
1864,279911.336166667
1865,329532.2834
1866,321293.354033333
1867,242354.620266667
1868,295134.436633333
1869,199993.4204
1870,246523.951333333
1871,254528.518466666
1872,174580.206466667
1873,229777.7176
1874,135563.762
1875,206302.455
1876,199526.944366667
1877,210448.951933333
1878,211794.224533333
1879,129646.521266667
1880,134333.7672
1881,248912.302733333
1882,254043.042333333
1883,200317.0667
1884,217378.635766667
1885,251841.159566667
1886,293134.886
1887,207182.562866667
1888,276693.0993
1889,168807.925533333
1890,136079.980433333
1891,142518.877466667
1892,110181.765166667
1893,134820.093333333
1894,131630.890433333
1895,149608.8128
1896,124426.445733333
1897,120238.202633333
1898,110349.6062
1899,135105.5148
1900,130978.429266667
1901,166360.152933333
1902,139566.385566667
1903,208666.533566667
1904,135429.5437
1905,186056.0962
1906,153525.246966667
